Category,Subtopics,Topic #,Label
Food,0_delicious_eating_restaurant_dish,0,Delicious Dishes and Dining
Food,13_quail egg_egg yolk_chicken egg_eggs quail,13,Balut and other Eggs
Food,19_halohalo_ube ice cream_ice candy_yum,19,Philippine Halo-Halo Dessert
Food,26_local coffee_coffee shops_cafe_coffee shop,26,Local Coffee and Coffee Shops
Food,34_squid squid_squid squid squid_squid_stew,34,Squid
Food,63_pule ti_pule pule_groufie_calamansi,63,Filipino Food
Food,65_hungry hungry hungry_hungry hungry_hungry_tasty,65,Satisfying Hunger with Delicious Food
Food,81_producer coconuts_coconuts producer coconuts_coconuts producer_coconut fresh,81,Coconut Varieties and Production
Food,89_fruits mango_mangosteen_fruit fresh_mangoes,89,Mango Fruit
Food,109_mango_mango mangoes_mangoes_song,109,Mango Fruit
Food,116_como esta_chicken_chicken ball hot_chicken balls chicken,116,Chicken & its Specific Related Dishes 
Food,119_salido_bean mung bean_mung_vice bucket,119,Common Filipino Dishes
Travel,9_topics taiwan_taiwan_taiwan staying_taiwan taiwan,9,Travel to Taiwan & Destinations
Travel,15_walk beach_beach_beach beach beach_beach beach,15,Walking by the Beach Experience
Travel,17_filipinawives_filipina couples_filipina_tourist visas,17,Filipino Partner & Tourist Visas
Travel,18_sagada_adore adore_buried_grave,18,Sagada Burial Caves & Hanging Coffins
Travel,20_tourist visa_bureau immigration_visa_visa extension,20,Travel Immigration & Visa Processes
Travel,21_rice terraces smartly_eighth rice terraces_rice terraces_terraces eighth rice,21,Banaue Rice Terraces
Travel,30_considered rich_immigration_rich money rich_rich rich rich,30,Wealthy & Rich Tourists Travelling
Travel,38_nino cathedral_basilica_cathedrals_cathedral,38,Basilicas and Cathedrals in the Philippines
Travel,43_visiting retiring beach_tips visiting retiring_retiring beach jet_retiring beach,43,Trip to a Beach Destination
Travel,54_manila cathedral church_manila cathedral_churches_catholic church,54,Manila Cathedral
Travel,55_restaurant baguio_tuguguru tuguguru_baguio_bel church baguio,55,Food & Destination in Baguio
Travel,58_pool bar pool_bar pool_pool bar_kananga kananga,58,Drinks & Relaxation by the Pool
Travel,61_bureau immigration_immigration_visa immigration_visa,61,Visa & Bureau of Immigration
Travel,64_bgc modern manila_manila_animals_modern manila,64,"Bonifacio Global City, Taguig, Metro Manila"
Travel,73_binondo chinatown manila_chinatown manila_binondo chinatown_fort san pedro,73,Chinatown Manila
Travel,75_wifi island_wifi_speed wifi_tourist spot,75,Internet Connectivity in Tourist Destinations
Travel,77_fun cemetery_monument manila_celebrate_celebrate dead,77,Rizal Park Monument & Manila Cemetery
Travel,90_started traveling_trips_trip_talking tourists,90,Experiences of a First Time Traveler
Travel,91_manila surrounding cities_manila population_capital manila surrounding_manila largest,91,Metro Manila as the National Capital Region
Travel,92_shopping malls_shopping malls shopping_malls shopping_street markets,92,Going to Shopping Malls and Street Markets in Manila
Travel,93_sabu_ride_transport_beach,93,Island and Beach Travel Experiences
Travel,106_bohol chocolate hills_chocolate hills atv_chocolate hills_chocolate chocolate hills,106,Chocolate Hills in Bohol
Travel,110_experience culture shock_biggest culture shock_culture shock_culture shock culture,110,Experiencing Culture Shock
Travel,112_traveling cheap transports_cheap transports_transports cheap_cheap transports cheap,112,Cheap Transportation while Travelling
Travel,115_bike shop_bike rent_rent bike_bikes,115,Bicycle & Tricycle Rental
Politics,3_kids_poor_learn_deserve,3,Experiences of Children in Community & Culture
Politics,4_battalion combat_armed forces_troops_warfare,4,"Military Assets, Combat, Strategies"
Politics,22_prejudices prejudice women_discussion roots prejudice_prejudice women_prejudice women women,22,Discussing Prejudice Against Women
Politics,25_recruits_training_scout rangers_platoon,25,Military and its Subunits
Politics,33_san miguel corporation_san miguel brewery_san miguel san_acquisitions san,33,San Miguel Corporation
Politics,40_worlds largest solar_largest solar_renewable_solar power,40,Largest Solar Power Projects in Manila / Southeast Asia
Politics,52_youtubers poverty porn_create poverty porn_porn poverty porn_poverty porn,52,Poverty Porn Content in YouTube
Politics,108_ranger scout_navigation scout ranger_scout ranger_navigation recruits,108,Recruiting Scout Rangers
Entertainment,24_manny_father actor_manny pacquiao_salt papi,24,Manny Pacquaio (National Icon)
Entertainment,37_masculine energy feminine_energy feminine energy_masculine energy_feminine energy,37,Masculine and Feminine Energy in Writing
Entertainment,42_relationship coppo_adorable coppos_coppos_daniel padilla,42,Philippine Love Teams featuring Daniel Padilla
Entertainment,47_singer_dance dance dance_star star star_sing,47,Singing and Dancing Stars
Entertainment,60_hang louis hang_louis hang louis_hang louis_louis hang,60,Louis Huang (Internation Actor)
Entertainment,62_morning cinema_cinema continue_morning cinema continue_cinema,62,Cinema & Watching Movies
Entertainment,66_episode pinay moms_pinay moms blogs_excited excited excited_watching pinay moms,66,Pinay Moms Content and Viewer Engagement 
Entertainment,72_watch jollibee commercials_reacting jollibee commercials_jollibee commercials_jollibee commercials jollibee,72,Watching Kwentong Jollibee Commercial
Entertainment,74_beauty pageants beauty_pageants beauty pageants_pageants beauty_beauty pageants,74,Philippine Beauty Pageant & Miss Universe
Entertainment,78_thatd funny_bob mali_dating_conversation,78,Funny Conversations and Socializing ft. Bob Marley
Entertainment,88_sponsor squarespace_todays sponsor squarespace_blogs galleries_digital nomads,88,Squarespace and Online Content Creation 
Entertainment,95_pinay moms blogs_moms blogs_pinay moms_moms,95,Filipino Moms doing a Vlog
Entertainment,97_hop_rap_hip hop_fun,97,HipHop and Dancing
Entertainment,104_sing song song_song sing song_song song sing_sing song,104,Singing of Songs
Entertainment,120_winning game_game winning_game win_win game,120,Winning Games and Excitement 
Culture,1_speak language_language speak_learn language_language english,1,Learning and Speaking Foreign Language
Culture,2_christmas merry christmas_celebrate christmas_christmas christmas christmas_christmas celebrate,2,Christmas Season & Celebration
Culture,6_species crocodile_crocodiles_crocodile crocodile_crocodile,6,Wildlife Species & Conservation
Culture,10_swim whale sharks_whale sharks_swimming whale sharks_whale shark,10,Swimming with Whale Sharks 
Culture,11_negros negros_black accepting black_black experience_black black accepting,11, Black Experiences and Acceptance
Culture,14_archipelago spanish_spanish colony_spanish empire_spanish colonial,14,Spanish Colonialism in the Philippines
Culture,16_eagle impressive_eagle eagle_eagle eagle eagle_eagle bald eagle,16,Philippine Monkey Eating Eagle
Culture,28_martial arts martial_martial art_kali martial_martial arts,28,Mixed Martial Arts and Fighting 
Culture,32_puppies_puppies hope_doggy_stray dogs,32,Stray Dogs and Pet Dogs
Culture,39_discrimination colored_segregation_discrimination_emphasize democratic segregation,39,Racial Discrimination
Culture,41_jew_concentration camp_bosnia_fathers,41,Personal Experiences of War and Persecution
Culture,46_flag flag_flag_flag secret national_flag flag flag,46,National Flag
Culture,49_bibingga bibingga bibingga_bibingga bibingga_bibingga_bisaya,49,"Bibingka, Bisaya Language, and Personal Anecdotes "
Culture,50_lgbtqia community_lgbt community_lgbtq community_gays lesbians,50,LGBTQIA Community
Culture,51_maya pahit empire_archipelago_pahit empire_empire empire,51,Historical States of the Southeast Asian Archipelago
Culture,53_war cuba_called cuba rising_war spain_rising spain,53,War & Conflict in Cuba & Spain
Culture,67_learning_learn_teacher_teachers,67,Language Education and Learning Experiences
Culture,69_sport_athletes_badminton_tennis,69,Athletes Playing Racket Sports
Culture,70_tamaraw dwarf buffalo_dwarf buffalo stocky_dwarf buffalo_horns buffalo,70,Physical Characteristics of the Tamaraw Dwarf Buffalo
Culture,80_married filipina_married_wedding rings_shocked elderly,80,Filipino Marriage Tradition
Culture,85_university campus_campus_universities_campus university,85,University and Campuses
Culture,87_rebellion conspired spanish_invaded hawaii war_invaded hawaii_territories,87,American Invasion of Hawaii Region and Historical Conflicts
Culture,96_rat_female rat_cat_cats,96,Cats & Rats
Culture,99_cow cow_cow_kick cow_cow kick,99,Cow & Farm Life
Culture,111_variations urban legend_urban legend_urban legend pattern_legend pattern doctor,111,Urban Legends and its Variations
Culture,117_ipakita akong imong_ipakita akong_akong imong telepono_imong telepono ipakita,117,Filipino Phrases
Lifestyle,5_haircut barber_haircuts_haircut_haircut haircut,5,Barber Services
Lifestyle,7_wear makeup_makeup_lipstick_makeup makeup,7,Makeup Products and Application
Lifestyle,8_dated_dating_students_girls,8,Philippines’ Dating & Relationship of Females
Lifestyle,12_drinkers_drinker_drinking etiquette_drinking,12,Drinking Culture & Practices
Lifestyle,17_filipinawives_filipina couples_filipina_tourist visas,17,Filipino Partner & Tourist Visas
Lifestyle,29_doctor doctor doctor_doctor_doctor doctor_vincent hospital,29,Medical Diagnostics & Hospital Services 
Lifestyle,35_expensive wedding gowns_wedding gowns famous_gown priced_wedding gowns,35,Famous and Expensive Wedding Gowns
Lifestyle,44_dating_relationship_started chatting_online dating,44,Dating & Relationships Setup
Lifestyle,48_friends heart_heart friends heart_friends heart friends_heart friends,48,Friendships
Lifestyle,57_casano_philippino husband_marriage_pass marriage,57,Filipino Marriage
Lifestyle,68_kid kid kid_kid kid_anak_kid,68,Children's Lives and Relationships 
Lifestyle,79_aunt girl_akong telepono charge_pwede icharge_icharge akong telepono,79,Kids Asking Aunt to Charge Phone
Lifestyle,82_skin color_beauty_color_skin,82,Skin Color & Beauty
Lifestyle,83_conduit_tiles_shovel_balic,83,Building Materials and Tools for Construction
Lifestyle,86_filipina_christian filipina_davao loving_happy,86,Characteristics of Filipinas from Davao
Lifestyle,94_friends attractive attractive_friends attractive_romantic_attractive attractive,94,Friendly and Romantic Relationships 
Lifestyle,98_batou batou batou_batou batou_sang miguel_family gossiping,98,"Activities and Discussions in Morong, Bataan "
Lifestyle,101_koreans bars_mindanao_koreans_cagayan dora,101,Korean Presence and Community in Mindanao
Lifestyle,102_friends issues_relationships_friends_drunk jinny,102,Friendships
Lifestyle,113_supercar_supercars_bgc supercar_uhoh,113,Luxury Cars in BGC
Lifestyle,118_pondi_happy baby_ready_happy,118,Mommy and Baby's Morning Events 
Others,23_winter summer cold_summer cold_winter_cold cold,23,Seasons and Weather 
Others,27_watching leave loved_listen listen listen_listen listen_listen,27,Listening & Watching Loved Ones Depart
Others,31_environment typhoon_typhoon_storm typhoon_hurricane,31,Severe Weather & Life in Storm-Prone Regions 
Others,36_officer meijii yoshimi_meijii yoshimi_meijii yoshimi tenoguchi_yoshimi tenoguchi,36,Officer Meijii Yoshimi and the Onoda Incident
Others,45_virtual private network_private network_public wifi_virtual private,45,Virtual Private Networks (VPNs) and Online Security
Others,56_school pula_school class_walampa sok school_school school,56,Suspension of Classes in Schools
Others,59_rainy season_rainy_windy_rained,59,Rainy Season
Others,71_dog losin losin_losin losin losin_losin losin_dog losin,71,Dog Losing / Being Lost
Others,84_bop bop bop_bop bop_parangai parangai parangai_bop,84,Unclear Repeated Terms
Others,100_bakaero bakaero bakaero_bakaero bakaero_bakaero_wee,100,Unclear Repeated Terms
Others,103_yums_cacao_wong_dangerous amazon jungle,103,"Mixture of Subjects: Jungle, Food, and Pop Culture "
Others,105_dig_procure_brother jay_jay jay jay,105,Unclear Repeated Terms
Others,107_bano guilla bano_sila_guilla bano guilla_guilla bano,107,Unclear Repeated Terms
Others,114_circle circle circle_hobbit house_circle hall_hall circle,114,"Specific Venues: Circle Hall, Hobbit House, and Themed Spots "
Others,"-1_kuzon kuzon hilindiasstly, kuzon",-1,Outliers